latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-32.346,119.391,366.7,3.6,1.8,2020-02-07,0250,T,100,6.0NRT,307.4,560.3,D
-32.348,119.43,340.5,3.6,1.8,2020-02-07,0250,T,88,6.0NRT,301,186.4,D
-32.36,119.352,340.9,3.5,1.8,2020-02-07,0250,T,89,6.0NRT,300.9,212.3,D
-32.362,119.39,387.2,3.6,1.8,2020-02-07,0250,T,100,6.0NRT,305.6,1076.4,D
-32.364,119.428,333.8,3.6,1.8,2020-02-07,0250,T,78,6.0NRT,302,131.1,D
-32.722,119.823,358.6,3.8,1.8,2020-02-07,0250,T,67,6.0NRT,298.7,508,D
-32.738,119.822,380.9,3.8,1.8,2020-02-07,0250,T,100,6.0NRT,299.1,1019.5,D
-32.755,119.822,342.1,3.8,1.8,2020-02-07,0250,T,87,6.0NRT,298.1,252.7,D
-32.757,119.863,387.3,3.8,1.8,2020-02-07,0250,T,100,6.0NRT,305.8,1213.2,D
-32.727,119.817,373.3,3.8,1.8,2020-02-07,0250,T,100,6.0NRT,303.2,819.2,D
-32.744,119.816,344.3,3.8,1.8,2020-02-07,0250,T,91,6.0NRT,296.2,279.6,D
-32.746,119.857,368.6,3.8,1.8,2020-02-07,0250,T,87,6.0NRT,304.2,692,D
-32.763,119.856,377,3.8,1.8,2020-02-07,0250,T,100,6.0NRT,303.4,916.9,D
-32.765,119.898,375.4,3.9,1.8,2020-02-07,0250,T,100,6.0NRT,305.1,878,D
-32.782,119.897,369.4,3.9,1.8,2020-02-07,0250,T,100,6.0NRT,301.2,735.5,D
-32.784,119.938,357.5,3.9,1.8,2020-02-07,0250,T,98,6.0NRT,303,497.7,D
-32.786,119.891,344.4,3.9,1.8,2020-02-07,0250,T,91,6.0NRT,299.8,293.9,D
-32.789,119.933,350.6,3.9,1.8,2020-02-07,0250,T,95,6.0NRT,302.4,389,D
-37.507,149.905,344.4,1.1,1,2020-02-07,0350,A,88,6.0NRT,294.1,46.1,D
-37.509,149.893,394.7,1.1,1,2020-02-07,0350,A,100,6.0NRT,298,242.5,D
-37.495,149.927,324.8,1.1,1,2020-02-07,0350,A,64,6.0NRT,295.9,17.6,D
-37.496,149.915,380.2,1.1,1,2020-02-07,0350,A,100,6.0NRT,300.1,165.9,D
-37.498,149.903,375.5,1.1,1,2020-02-07,0350,A,100,6.0NRT,302.4,140.9,D
-37.499,149.891,393.9,1.1,1,2020-02-07,0350,A,100,6.0NRT,306.2,235.4,D
-37.501,149.879,340.9,1.1,1,2020-02-07,0350,A,70,6.0NRT,295.3,37.5,D
-37.485,149.926,341.3,1.1,1,2020-02-07,0350,A,90,6.0NRT,297.9,42.4,D
